物件番号,日付,件名,地名地番,住居表示,構造,階数（地上）,階数（地下）,延床面積,敷地面積,建築主,建築主住所,設計者,施工者,着工,完成,備考
10097051,2025/03/31,(仮称)神戸市中央区上筒井通7丁目マンション新築工事,兵庫県神戸市中央区上筒井通7-348ほか,兵庫県神戸市中央区上筒井通7,鉄筋コンクリート造,4 階,1 階,2285.38 ㎡,976.72 ㎡,,,株式会社MRSブレイン一級建築士事務所,株式会社山田工務店,2025/03/31,2026/01/30,共同住宅
10096945,2025/03/24,神戸市標識設置情報,兵庫県神戸市兵庫区佐比江町10-5,兵庫県神戸市兵庫区佐比江町,鉄筋コンクリート造,15 階,階,2945.06 ㎡,674.68 ㎡,ウルトラエステート株式会社,大阪府大阪市中央区谷町6-10-19,株式会社ギフトプラスデザイン一級建築士事務所,スナダ建設株式会社,2025/06/15,2027/01/31,共同住宅
10096944,2025/03/24,岩屋北町PJ＊邸新築工事,兵庫県神戸市灘区岩屋北町4-5-8ほか,兵庫県神戸市灘区岩屋北町4,鉄骨造,3 階,階,935.17 ㎡,421.65 ㎡,,,旭化成ホームズ株式会社兵庫メゾン一級建築士事務所,旭化成ホームズ株式会社,2025/04/15,2026/01/29,共同住宅(物販店舗付)
10096884,2025/03/31,中央区南船場一丁目計画,大阪府大阪市中央区南船場1-57-3ほか,大阪府大阪市中央区南船場1-1,鉄骨造,13 階,階,870.49 ㎡,120.12 ㎡,,,,株式会社興栄源,2025/06/15,2026/05/31,共同住宅
10096883,2025/03/31,(仮)南船場project,大阪府大阪市中央区南船場1-62ほか,大阪府大阪市中央区南船場1-1,鉄筋コンクリート造、鉄骨造,7 階,1 階,508.42 ㎡,93.06 ㎡,,,USホーム株式会社一級建築士事務所,USホーム株式会社,2025/05/10,2026/04/30,共同住宅、物販店舗
10096881,2025/03/28,(仮称)東成区東中本2丁目計画新築工事,大阪府大阪市東成区東中本2-246-1ほか,大阪府大阪市東成区東中本2,鉄筋コンクリート造,15 階,階,2526.71 ㎡,544.57 ㎡,株式会社TAKANO ESTATE、株式会社DEVELOPMENT CLOUD、エスリード株式会社,大阪府大阪市中央区安土町1-8-15、大阪府大阪市中央区安土町1-8-15、大阪府大阪市福島区福島6-25-19,株式会社国分建築設計事務所,未定,2025/07/01,2027/02/28,共同住宅
10096880,2025/03/28,＊様共同住宅新築工事,大阪府大阪市福島区吉野4-94ほか,大阪府大阪市福島区吉野4,鉄筋コンクリート造,7 階,階,1981.43 ㎡,700.12 ㎡,,,大東建託株式会社東大阪支店一級建築士事務所,大東建託株式会社,2025/11/10,2026/12/25,共同住宅
10096879,2025/03/28,(仮称)中央区島之内2丁目プロジェクト新築工事,大阪府大阪市中央区島之内2-16-8ほか,大阪府大阪市中央区島之内2,鉄筋コンクリート造,13 階,階,1300.92 ㎡,145.97 ㎡,関西マネージメント株式会社,大阪府大阪市浪速区幸町2-3-14,株式会社アクシスアーキテクツ,未定,2025/06/01,2026/11/30,共同住宅、店舗
10096877,2025/03/26,(仮称)プレサンスレイズ阿倍野区昭和町五丁目新築工事,大阪府大阪市阿倍野区昭和町5-12-28,大阪府大阪市阿倍野区昭和町5,鉄筋コンクリート造,14 階,階,2081.9 ㎡,447.93 ㎡,株式会社プレサンスコーポレーション,大阪府大阪市中央区城見1-2-27,株式会社アイ・エー・オー田中設計,未定,2025/07/01,2027/03/31,共同住宅(分譲)
10096675,2025/03/01,神戸市標識設置情報,兵庫県神戸市兵庫区本町1-4-21ほか,兵庫県神戸市兵庫区本町1,鉄筋コンクリート造,10 階,階,1322.41 ㎡,282.5 ㎡,株式会社イー・グルーブ,兵庫県神戸市中央区多聞通3-3-15,株式会社Will建築設計事務所,未定,2025/04/01,2026/03/31,共同住宅(ワンルーム45戸)
